iter	MultiClass
0	0.9319739801
1	0.8090951618
2	0.7125320609
3	0.6352730453
4	0.5721032337
5	0.518545357
6	0.4732220207
7	0.4352733757
8	0.4018493413
9	0.3733663687
10	0.3479835312
11	0.3257999298
12	0.3059376923
13	0.2887651162
14	0.2734968582
15	0.2603571481
16	0.2481875725
17	0.2373923349
18	0.2278741768
19	0.2189442858
20	0.211470917
21	0.2043366391
22	0.1976345466
23	0.191656829
24	0.1865607863
25	0.182119942
26	0.1777700929
27	0.1742019304
28	0.1703054228
29	0.1669675541
30	0.1638723478
31	0.1616229717
32	0.1595627508
33	0.157106059
34	0.1550462802
35	0.1529787152
36	0.1513686249
37	0.149717533
38	0.1483471118
39	0.1467506807
40	0.145864482
41	0.1444395807
42	0.1429333717
43	0.1421449552
44	0.1411224666
45	0.1402598346
46	0.1395919421
47	0.1387991437
48	0.1379482142
49	0.1371813346
50	0.1365525388
51	0.135973935
52	0.1352024522
53	0.1347438603
54	0.1341647195
55	0.1334169311
56	0.1326780031
57	0.1323233013
58	0.1316416817
59	0.1312097021
60	0.1303992672
61	0.1297154037
62	0.1291795755
63	0.1286603664
64	0.1281880987
65	0.1277748019
66	0.1274164807
67	0.1268493269
68	0.1265413356
69	0.1261754975
70	0.1258024737
71	0.1255267466
72	0.1252670941
73	0.1250037952
74	0.1246780239
75	0.124199174
76	0.1238050073
77	0.1235692043
78	0.1233491211
79	0.1231878102
80	0.1227780853
81	0.1225984147
82	0.1223853704
83	0.1220915906
84	0.1217722142
85	0.1216176798
86	0.1211830274
87	0.1208404443
88	0.1206286142
89	0.120130605
90	0.1198414641
91	0.1196751207
92	0.1194561389
93	0.1190380183
94	0.1188432825
95	0.1185585297
96	0.1182201092
97	0.1181151065
98	0.1179048558
99	0.1176689339
100	0.1175108756
101	0.1173728681
102	0.1172797511
103	0.1169907013
104	0.1168093777
105	0.1165726368
106	0.11639734
107	0.1163141418
108	0.1161771781
109	0.1160292917
110	0.115912716
111	0.1156308928
112	0.1154103271
113	0.1151695986
114	0.1149183364
115	0.1147905493
116	0.1145201101
117	0.1143894375
118	0.1142018614
119	0.1140536975
120	0.1137540635
121	0.113602963
122	0.1134422953
123	0.1131242331
124	0.1130178942
125	0.1127419167
126	0.1126259832
127	0.1125185102
128	0.1124206286
