iter	Passed	Remaining
0	39	39791
1	78	39347
2	118	39291
3	160	39913
4	202	40265
5	241	39974
6	278	39543
7	318	39487
8	357	39410
9	396	39267
10	435	39198
11	474	39044
12	508	38632
13	545	38448
14	584	38406
15	621	38211
16	657	38014
17	699	38149
18	733	37846
19	769	37694
20	805	37561
21	840	37353
22	881	37445
23	920	37451
24	956	37320
25	992	37175
26	1034	37274
27	1067	37049
28	1105	37011
29	1148	37127
30	1188	37144
31	1222	36972
32	1254	36766
33	1289	36622
34	1324	36508
35	1364	36538
36	1398	36408
37	1434	36315
38	1466	36144
39	1503	36089
40	1535	35912
41	1574	35914
42	1614	35926
43	1651	35875
44	1685	35761
45	1722	35717
46	1753	35546
47	1789	35486
48	1820	35339
49	1851	35179
50	1887	35116
51	1925	35097
52	1961	35047
53	2008	35177
54	2042	35098
55	2077	35017
56	2113	34967
57	2148	34899
58	2195	35014
59	2229	34926
60	2271	34961
61	2319	35085
62	2356	35046
63	2394	35014
64	2432	34987
65	2470	34962
66	2511	34980
67	2562	35114
68	2599	35068
69	2641	35089
70	2676	35023
71	2711	34953
72	2746	34874
73	2778	34767
74	2811	34679
75	2844	34579
76	2880	34528
77	2913	34444
78	2946	34350
79	2980	34273
80	3015	34218
81	3050	34145
82	3085	34089
83	3121	34034
84	3161	34029
85	3195	33956
86	3229	33888
87	3270	33894
88	3303	33819
89	3344	33813
90	3377	33741
91	3414	33694
92	3449	33641
93	3488	33619
94	3522	33556
95	3563	33556
96	3599	33506
97	3631	33424
98	3668	33385
99	3706	33356
100	3740	33295
101	3774	33231
102	3806	33149
103	3845	33128
104	3884	33106
105	3922	33080
106	3957	33030
107	3989	32951
108	4041	33039
109	4092	33108
110	4138	33145
111	4175	33102
112	4212	33062
113	4253	33059
114	4291	33024
115	4331	33012
116	4366	32952
117	4400	32893
118	4438	32857
119	4477	32835
120	4512	32782
121	4548	32733
122	4582	32674
123	4621	32645
124	4663	32643
125	4698	32588
126	4729	32510
127	4764	32456
128	4806	32456
129	4846	32435
130	4885	32409
131	4922	32371
132	4959	32328
133	4993	32268
134	5034	32258
135	5070	32212
136	5100	32131
137	5138	32096
138	5179	32081
139	5221	32072
140	5252	31998
141	5285	31934
142	5319	31878
143	5350	31803
144	5387	31770
145	5422	31719
146	5456	31665
147	5495	31638
148	5537	31626
149	5570	31563
150	5601	31492
151	5667	31621
152	5704	31579
153	5736	31516
154	5773	31474
155	5803	31400
156	5845	31385
157	5885	31364
158	5928	31355
159	5961	31295
160	5999	31264
161	6037	31232
162	6079	31219
163	6116	31181
164	6154	31146
165	6189	31095
166	6225	31050
167	6260	31005
168	6301	30986
169	6337	30943
170	6373	30899
171	6413	30874
172	6449	30828
173	6487	30798
174	6529	30780
175	6558	30704
176	6593	30658
177	6630	30620
178	6663	30561
179	6699	30521
180	6739	30496
181	6774	30448
182	6809	30402
183	6845	30356
184	6884	30328
185	6922	30296
186	6959	30257
187	6993	30205
188	7032	30176
189	7067	30130
190	7117	30148
191	7157	30120
192	7198	30097
193	7229	30036
194	7261	29977
195	7297	29934
196	7335	29901
197	7372	29863
198	7408	29821
199	7441	29765
200	7484	29750
201	7520	29708
202	7556	29667
203	7583	29591
204	7621	29557
205	7659	29523
206	7694	29478
207	7726	29421
208	7759	29366
209	7796	29328
210	7833	29293
211	7870	29255
212	7904	29204
213	7940	29163
214	7977	29127
215	8010	29075
216	8049	29045
217	8099	29052
218	8147	29054
219	8184	29018
220	8221	28978
221	8263	28959
222	8301	28923
223	8336	28880
224	8373	28843
225	8408	28797
226	8443	28752
227	8476	28702
228	8506	28640
229	8539	28589
230	8577	28553
231	8609	28499
232	8646	28461
233	8681	28418
234	8714	28367
235	8752	28334
236	8784	28280
237	8815	28224
238	8850	28179
239	8888	28148
240	8926	28111
241	8965	28082
242	9000	28038
243	9034	27991
244	9066	27940
245	9103	27901
246	9131	27837
247	9163	27786
248	9202	27756
249	9238	27714
250	9271	27667
251	9305	27620
252	9342	27584
253	9376	27540
254	9412	27499
255	9447	27456
256	9486	27424
257	9519	27376
258	9552	27331
259	9584	27277
260	9621	27243
261	9661	27213
262	9700	27184
263	9743	27164
264	9777	27117
265	9813	27080
266	9849	27038
267	9887	27006
268	9920	26959
269	9955	26917
270	9993	26883
271	10030	26846
272	10070	26818
273	10113	26797
274	10148	26754
275	10184	26714
276	10224	26687
277	10258	26643
278	10299	26616
279	10333	26571
280	10370	26535
281	10410	26507
282	10443	26458
283	10480	26423
284	10518	26388
285	10555	26352
286	10593	26317
287	10631	26284
288	10669	26248
289	10709	26219
290	10749	26190
291	10786	26153
292	10815	26097
293	10850	26056
294	10894	26036
295	10932	26002
296	10961	25945
297	11000	25913
298	11033	25866
299	11068	25825
300	11105	25790
301	11139	25746
302	11176	25709
303	11212	25671
304	11243	25619
305	11275	25573
306	11310	25532
307	11347	25496
308	11391	25474
309	11429	25439
310	11465	25400
311	11498	25356
312	11538	25325
313	11575	25289
314	11616	25260
315	11647	25211
316	11684	25174
317	11724	25144
318	11764	25115
319	11796	25067
320	11834	25033
321	11866	24986
322	11905	24953
323	11938	24907
324	11974	24869
325	12008	24826
326	12042	24784
327	12085	24760
328	12137	24754
329	12180	24730
330	12219	24698
331	12252	24653
332	12287	24612
333	12321	24569
334	12356	24528
335	12393	24491
336	12423	24442
337	12459	24402
338	12495	24363
339	12528	24319
340	12560	24274
341	12599	24240
342	12648	24228
343	12691	24202
344	12731	24171
345	12776	24150
346	12819	24123
347	12857	24088
348	12904	24071
349	12943	24037
350	12977	23995
351	13010	23950
352	13056	23931
353	13101	23908
354	13142	23879
355	13181	23845
356	13218	23808
357	13254	23769
358	13285	23722
359	13325	23689
360	13360	23648
361	13391	23601
362	13429	23565
363	13459	23516
364	13497	23482
365	13533	23442
366	13568	23402
367	13603	23362
368	13643	23330
369	13677	23289
370	13716	23255
371	13748	23209
372	13787	23175
373	13819	23130
374	13851	23085
375	13884	23043
376	13926	23013
377	13958	22968
378	13995	22932
379	14029	22889
380	14064	22850
381	14099	22809
382	14152	22799
383	14197	22774
384	14235	22740
385	14266	22693
386	14303	22656
387	14338	22616
388	14370	22571
389	14405	22531
390	14440	22491
391	14473	22449
392	14507	22407
393	14542	22368
394	14571	22318
395	14610	22284
396	14647	22248
397	14678	22202
398	14716	22166
399	14749	22124
400	14787	22089
401	14817	22042
402	14847	21995
403	14889	21965
404	14920	21920
405	14953	21877
406	14988	21838
407	15027	21804
408	15061	21764
409	15095	21723
410	15132	21685
411	15167	21647
412	15201	21606
413	15240	21572
414	15275	21532
415	15318	21504
416	15355	21468
417	15386	21423
418	15424	21387
419	15463	21353
420	15495	21311
421	15536	21279
422	15573	21242
423	15607	21202
424	15646	21168
425	15680	21127
426	15716	21090
427	15761	21064
428	15802	21032
429	15835	20990
430	15871	20953
431	15911	20920
432	15940	20873
433	15976	20835
434	16016	20802
435	16048	20760
436	16085	20724
437	16123	20687
438	16164	20656
439	16206	20626
440	16236	20580
441	16268	20538
442	16305	20501
443	16341	20463
444	16378	20427
445	16411	20385
446	16443	20343
447	16481	20307
448	16518	20270
449	16555	20234
450	16587	20192
451	16620	20150
452	16655	20111
453	16689	20070
454	16715	20022
455	16749	19981
456	16780	19938
457	16822	19908
458	16855	19866
459	16887	19824
460	16921	19784
461	16961	19751
462	16997	19714
463	17035	19679
464	17084	19656
465	17118	19615
466	17153	19577
467	17189	19540
468	17228	19505
469	17262	19466
470	17300	19430
471	17334	19391
472	17368	19350
473	17402	19312
474	17439	19275
475	17474	19236
476	17507	19195
477	17539	19153
478	17578	19119
479	17615	19083
480	17651	19046
481	17693	19014
482	17732	18981
483	17769	18944
484	17804	18905
485	17841	18869
486	17878	18833
487	17914	18795
488	17949	18756
489	17989	18723
490	18025	18686
491	18056	18643
492	18093	18606
493	18127	18567
494	18159	18526
495	18201	18495
496	18248	18468
497	18281	18428
498	18315	18389
499	18351	18351
500	18384	18310
501	18417	18271
502	18449	18229
503	18486	18192
504	18525	18158
505	18563	18123
506	18597	18084
507	18630	18043
508	18668	18008
509	18704	17970
510	18734	17927
511	18771	17891
512	18813	17860
513	18853	17826
514	18888	17787
515	18926	17753
516	18961	17714
517	18991	17672
518	19028	17635
